Date,Set 1,Set 2,Set 3
4/7/2024,115x6,100x9,85x12
4/1/2024,115x12,115x8,100x13
3/17/2024,115x9,100x13,100x9
3/14/2024,115x9,100x14,100x11
3/8/2024,115x12,100x12,100x11
3/5/2024,115x12,100x12,100x11
3/2/2024,100x19,100x13,100x9
2/28/2024,100x9,85x13,85x9
2/25/2024,115x8,100x12,85x14
2/20/2024,115x10,100x11,85x14
2/17/2024,85x12,85x11,85x10
2/4/2024,85x12,85x11,85x6
1/31/2024,85x12,85x10,85x9
1/24/2024,85x12,85x10,85x12
1/11/2024,70x12,85x10,85x10
